"PriorityRank","InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","TailNumber","BaseCode","BaseName","PositionNo","InstalledDate","FlightHours","StressHours","IntervalFlightHours","IntervalStressHours","PctOfHourInterval","PctOfStressInterval","IsOverdueByHours","IsOverdueByStress","IsHiddenOverdue","StressPerFlightHour","RemainingStressHours","ProjectedFlightHoursToStressLimit","LeadTimeFlightHours","ActionCode","JobHours","CumulativeJobHours","IsThisWeek","RecommendedAction"
"131","333","MOTOR-ESC-00093","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-007","ACADEMY","Training Academy","4","2/27/2026 12:00:00 AM","83.8332","151.4936","200.0","200.0","41.92","75.75","0","0","0","1.7137","48.5064","28.31","12.0","SCHEDULE_THIS_MONTH","4.5","486.00","0","Schedule MU-007 within the month. Motor and speed controller projected to reach its stress limit in 28.31 flight hours."
"132","1499","ROTOR-ASSY-00541","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-030","PORT","Port Logistics Hub","3","7/30/2026 12:00:00 AM","47.6334","94.1488","150.0","150.0","31.76","62.77","0","0","0","1.9627","55.8512","28.46","18.0","SCHEDULE_THIS_MONTH","4.5","490.50","0","Schedule MU-030 within the month. Rotor assembly and bearing projected to reach its stress limit in 28.46 flight hours."
"133","306","ROTOR-ASSY-00112","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-006","COASTAL","Coastal Survey Base","3","4/8/2026 12:00:00 AM","103.8334","118.8330","150.0","150.0","69.22","79.22","0","0","0","1.0800","31.1670","28.86","18.0","SCHEDULE_THIS_MONTH","4.5","495.00","0","Schedule MU-006 within the month. Rotor assembly and bearing projected to reach its stress limit in 28.86 flight hours."
"134","1404","ROTOR-ASSY-00508","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-028","ACADEMY","Training Academy","3","4/27/2026 12:00:00 AM","55.9166","99.4043","150.0","150.0","37.28","66.27","0","0","0","1.7297","50.5957","29.25","18.0","SCHEDULE_THIS_MONTH","4.5","499.50","0","Schedule MU-028 within the month. Rotor assembly and bearing projected to reach its stress limit in 29.25 flight hours."
"135","110","ROTOR-ASSY-00037","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-002","HIGHLND","Highland Operations","3","8/8/2026 12:00:00 AM","36.0166","82.8922","150.0","150.0","24.01","55.26","0","0","0","2.2807","67.1078","29.42","18.0","SCHEDULE_THIS_MONTH","4.5","504.00","0","Schedule MU-002 within the month. Rotor assembly and bearing projected to reach its stress limit in 29.42 flight hours."
"136","909","ROTOR-ASSY-00331","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-018","HIGHLND","Highland Operations","4","7/23/2026 12:00:00 AM","37.6333","84.1187","150.0","150.0","25.09","56.08","0","0","0","2.1969","65.8813","29.99","18.0","SCHEDULE_THIS_MONTH","4.5","508.50","0","Schedule MU-018 within the month. Rotor assembly and bearing projected to reach its stress limit in 29.99 flight hours."
"137","702","BATT-PACK-00154","BATT-PACK","Main battery pack","FlightCritical","MU-015","PORT","Port Logistics Hub","1","8/14/2026 12:00:00 AM","31.2168","60.6107","120.0","120.0","26.01","50.51","0","0","0","1.9216","59.3893","30.91","8.0","SCHEDULE_THIS_MONTH","4.5","513.00","0","Schedule MU-015 within the month. Main battery pack projected to reach its stress limit in 30.91 flight hours."
"138","269","BATT-PACK-00060","BATT-PACK","Main battery pack","FlightCritical","MU-006","COASTAL","Coastal Survey Base","1","5/27/2026 12:00:00 AM","76.3669","86.1251","120.0","120.0","63.64","71.77","0","0","0","1.0800","33.8749","31.37","8.0","SCHEDULE_THIS_MONTH","4.5","517.50","0","Schedule MU-006 within the month. Main battery pack projected to reach its stress limit in 31.37 flight hours."
"139","1290","BATT-PACK-00277","BATT-PACK","Main battery pack","FlightCritical","MU-026","ACADEMY","Training Academy","1","7/2/2026 12:00:00 AM","30.1503","58.7842","120.0","120.0","25.13","48.99","0","0","0","1.9301","61.2158","31.72","8.0","SCHEDULE_THIS_MONTH","4.5","522.00","0","Schedule MU-026 within the month. Main battery pack projected to reach its stress limit in 31.72 flight hours."
"140","751","ROTOR-ASSY-00273","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-015","PORT","Port Logistics Hub","4","7/24/2026 12:00:00 AM","45.9001","88.3690","150.0","150.0","30.60","58.91","0","0","0","1.9216","61.6310","32.07","18.0","SCHEDULE_THIS_MONTH","4.5","526.50","0","Schedule MU-015 within the month. Rotor assembly and bearing projected to reach its stress limit in 32.07 flight hours."
"141","44","ROTOR-ASSY-00010","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-001","PORT","Port Logistics Hub","2","8/1/2026 12:00:00 AM","39.6002","83.1817","150.0","150.0","26.40","55.45","0","0","0","2.0638","66.8183","32.38","18.0","SCHEDULE_THIS_MONTH","4.5","531.00","0","Schedule MU-001 within the month. Rotor assembly and bearing projected to reach its stress limit in 32.38 flight hours."
"142","256","ROTOR-ASSY-00093","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-005","PORT","Port Logistics Hub","3","7/14/2026 12:00:00 AM","46.5332","87.9927","150.0","150.0","31.02","58.66","0","0","0","1.9127","62.0073","32.42","18.0","SCHEDULE_THIS_MONTH","4.5","535.50","0","Schedule MU-005 within the month. Rotor assembly and bearing projected to reach its stress limit in 32.42 flight hours."
"143","591","ROTOR-ASSY-00208","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-012","COASTAL","Coastal Survey Base","1","5/13/2026 12:00:00 AM","97.1664","114.3230","150.0","150.0","64.78","76.22","0","0","0","1.0819","35.6770","32.98","18.0","SCHEDULE_THIS_MONTH","4.5","540.00","0","Schedule MU-012 within the month. Rotor assembly and bearing projected to reach its stress limit in 32.98 flight hours."
"144","595","ROTOR-ASSY-00212","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-012","COASTAL","Coastal Survey Base","2","5/13/2026 12:00:00 AM","97.1664","114.3230","150.0","150.0","64.78","76.22","0","0","0","1.0819","35.6770","32.98","18.0","SCHEDULE_THIS_MONTH","4.5","544.50","0","Schedule MU-012 within the month. Rotor assembly and bearing projected to reach its stress limit in 32.98 flight hours."
"145","274","BATT-PACK-00065","BATT-PACK","Main battery pack","FlightCritical","MU-006","COASTAL","Coastal Survey Base","2","5/28/2026 12:00:00 AM","74.2502","83.9884","120.0","120.0","61.88","69.99","0","0","0","1.0800","36.0116","33.34","8.0","SCHEDULE_THIS_MONTH","4.5","549.00","0","Schedule MU-006 within the month. Main battery pack projected to reach its stress limit in 33.34 flight hours."
"146","1208","ROTOR-ASSY-00431","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-024","COASTAL","Coastal Survey Base","2","4/8/2026 12:00:00 AM","102.1502","113.9931","150.0","150.0","68.10","76.00","0","0","0","1.0798","36.0069","33.35","18.0","SCHEDULE_THIS_MONTH","4.5","553.50","0","Schedule MU-024 within the month. Rotor assembly and bearing projected to reach its stress limit in 33.35 flight hours."
"147","1311","ROTOR-ASSY-00469","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-026","ACADEMY","Training Academy","1","5/29/2026 12:00:00 AM","42.2336","83.9673","150.0","150.0","28.16","55.98","0","0","0","1.9301","66.0327","34.21","18.0","SCHEDULE_THIS_MONTH","4.5","558.00","0","Schedule MU-026 within the month. Rotor assembly and bearing projected to reach its stress limit in 34.21 flight hours."
"148","1490","ROTOR-ASSY-00532","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-030","PORT","Port Logistics Hub","1","8/13/2026 12:00:00 AM","40.1500","79.2297","150.0","150.0","26.77","52.82","0","0","0","1.9627","70.7703","36.06","18.0","SCHEDULE_THIS_MONTH","4.5","562.50","0","Schedule MU-030 within the month. Rotor assembly and bearing projected to reach its stress limit in 36.06 flight hours."
"149","431","MOTOR-ESC-00118","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-009","COASTAL","Coastal Survey Base","2","3/14/2026 12:00:00 AM","127.4502","155.1039","200.0","200.0","63.73","77.55","0","0","0","1.1930","44.8961","37.63","12.0","SCHEDULE_THIS_MONTH","4.5","567.00","0","Schedule MU-009 within the month. Motor and speed controller projected to reach its stress limit in 37.63 flight hours."
"150","719","MOTOR-ESC-00195","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-015","PORT","Port Logistics Hub","1","6/29/2026 12:00:00 AM","65.3167","127.5546","200.0","200.0","32.66","63.78","0","0","0","1.9216","72.4454","37.70","12.0","SCHEDULE_THIS_MONTH","4.5","571.50","0","Schedule MU-015 within the month. Motor and speed controller projected to reach its stress limit in 37.70 flight hours."
"151","81","MOTOR-ESC-00018","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-002","HIGHLND","Highland Operations","1","7/24/2026 12:00:00 AM","50.1499","113.4683","200.0","200.0","25.07","56.73","0","0","0","2.2807","86.5317","37.94","12.0","SCHEDULE_THIS_MONTH","4.5","576.00","0","Schedule MU-002 within the month. Motor and speed controller projected to reach its stress limit in 37.94 flight hours."
"152","89","MOTOR-ESC-00026","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-002","HIGHLND","Highland Operations","3","7/24/2026 12:00:00 AM","50.1499","113.4683","200.0","200.0","25.07","56.73","0","0","0","2.2807","86.5317","37.94","12.0","SCHEDULE_THIS_MONTH","4.5","580.50","0","Schedule MU-002 within the month. Motor and speed controller projected to reach its stress limit in 37.94 flight hours."
"153","1266","ROTOR-ASSY-00447","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-025","HIGHLND","Highland Operations","1","7/29/2026 12:00:00 AM","28.9833","66.1686","150.0","150.0","19.32","44.11","0","0","0","2.1718","83.8314","38.60","18.0","SCHEDULE_THIS_MONTH","4.5","585.00","0","Schedule MU-025 within the month. Rotor assembly and bearing projected to reach its stress limit in 38.60 flight hours."
"154","1284","ROTOR-ASSY-00465","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-025","HIGHLND","Highland Operations","4","7/29/2026 12:00:00 AM","28.9833","66.1686","150.0","150.0","19.32","44.11","0","0","0","2.1718","83.8314","38.60","18.0","SCHEDULE_THIS_MONTH","4.5","589.50","0","Schedule MU-025 within the month. Rotor assembly and bearing projected to reach its stress limit in 38.60 flight hours."
"155","578","MOTOR-ESC-00158","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-012","COASTAL","Coastal Survey Base","1","2/23/2026 12:00:00 AM","132.7830","157.8001","200.0","200.0","66.39","78.90","0","0","0","1.0819","42.1999","39.01","12.0","SCHEDULE_THIS_MONTH","4.5","594.00","0","Schedule MU-012 within the month. Motor and speed controller projected to reach its stress limit in 39.01 flight hours."
"156","584","MOTOR-ESC-00164","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-012","COASTAL","Coastal Survey Base","3","2/23/2026 12:00:00 AM","132.7830","157.8001","200.0","200.0","66.39","78.90","0","0","0","1.0819","42.1999","39.01","12.0","SCHEDULE_THIS_MONTH","4.5","598.50","0","Schedule MU-012 within the month. Motor and speed controller projected to reach its stress limit in 39.01 flight hours."
"157","587","MOTOR-ESC-00167","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-012","COASTAL","Coastal Survey Base","4","2/23/2026 12:00:00 AM","132.7830","157.8001","200.0","200.0","66.39","78.90","0","0","0","1.0819","42.1999","39.01","12.0","SCHEDULE_THIS_MONTH","4.5","603.00","0","Schedule MU-012 within the month. Motor and speed controller projected to reach its stress limit in 39.01 flight hours."
"158","920","BATT-PACK-00201","BATT-PACK","Main battery pack","FlightCritical","MU-019","PORT","Port Logistics Hub","1","8/21/2026 12:00:00 AM","26.2333","44.9234","120.0","120.0","21.86","37.44","0","0","0","1.8879","75.0766","39.77","8.0","SCHEDULE_THIS_MONTH","4.5","607.50","0","Schedule MU-019 within the month. Main battery pack projected to reach its stress limit in 39.77 flight hours."
"159","599","ROTOR-ASSY-00216","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-012","COASTAL","Coastal Survey Base","3","5/23/2026 12:00:00 AM","92.0997","106.9351","150.0","150.0","61.40","71.29","0","0","0","1.0819","43.0649","39.80","18.0","SCHEDULE_THIS_MONTH","4.5","612.00","0","Schedule MU-012 within the month. Rotor assembly and bearing projected to reach its stress limit in 39.80 flight hours."
"160","1029","AIRDATA-00042","AIRDATA","Air data and pitot module","MissionCritical","MU-021","ACADEMY","Training Academy","1","1/8/2024 12:00:00 AM","380.1999","712.3306","400.0","400.0","95.05","178.08","0","1","1","1.9149","-312.3306","-163.11","6.0","REPLACE_AT_NEXT_SLOT","2.5","614.50","0","Book MU-021 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"161","1336","GIMBAL-00068","GIMBAL","Payload gimbal","MissionCritical","MU-027","HIGHLND","Highland Operations","1","9/3/2025 12:00:00 AM","282.0500","588.2364","300.0","300.0","94.02","196.08","0","1","1","1.9080","-288.2364","-151.07","24.0","REPLACE_AT_NEXT_SLOT","2.5","617.00","0","Book MU-027 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"162","312","AIRDATA-00013","AIRDATA","Air data and pitot module","MissionCritical","MU-007","ACADEMY","Training Academy","1","5/10/2024 12:00:00 AM","337.9662","628.6641","400.0","400.0","84.49","157.17","0","1","1","1.7137","-228.6641","-133.43","6.0","REPLACE_AT_NEXT_SLOT","2.5","619.50","0","Book MU-007 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"163","56","AIRDATA-00004","AIRDATA","Air data and pitot module","MissionCritical","MU-002","HIGHLND","Highland Operations","1","7/30/2025 12:00:00 AM","285.5001","626.4798","400.0","400.0","71.38","156.62","0","1","1","2.2807","-226.4798","-99.30","6.0","REPLACE_AT_NEXT_SLOT","2.5","622.00","0","Book MU-002 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"164","521","GIMBAL-00028","GIMBAL","Payload gimbal","MissionCritical","MU-011","HIGHLND","Highland Operations","1","9/8/2025 12:00:00 AM","242.0667","516.5486","300.0","300.0","80.69","172.18","0","1","1","2.1761","-216.5486","-99.51","24.0","REPLACE_AT_NEXT_SLOT","2.5","624.50","0","Book MU-011 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"165","657","GIMBAL-00034","GIMBAL","Payload gimbal","MissionCritical","MU-014","PORT","Port Logistics Hub","1","9/22/2025 12:00:00 AM","248.2503","496.0759","300.0","300.0","82.75","165.36","0","1","1","1.8671","-196.0759","-105.02","24.0","REPLACE_AT_NEXT_SLOT","2.5","627.00","0","Book MU-014 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"166","1376","AIRDATA-00056","AIRDATA","Air data and pitot module","MissionCritical","MU-028","ACADEMY","Training Academy","1","7/1/2024 12:00:00 AM","315.3168","578.9008","400.0","400.0","78.83","144.73","0","1","1","1.7297","-178.9008","-103.43","6.0","REPLACE_AT_NEXT_SLOT","2.5","629.50","0","Book MU-028 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"167","1470","GIMBAL-00075","GIMBAL","Payload gimbal","MissionCritical","MU-030","PORT","Port Logistics Hub","1","12/25/2025 12:00:00 AM","193.3667","395.8284","300.0","300.0","64.46","131.94","0","1","1","1.9627","-95.8284","-48.82","24.0","REPLACE_AT_NEXT_SLOT","2.5","632.00","0","Book MU-030 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"168","17","GIMBAL-00004","GIMBAL","Payload gimbal","MissionCritical","MU-001","PORT","Port Logistics Hub","1","12/31/2025 12:00:00 AM","184.0339","369.0321","300.0","300.0","61.34","123.01","0","1","1","2.0638","-69.0321","-33.45","24.0","REPLACE_AT_NEXT_SLOT","2.5","634.50","0","Book MU-001 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"169","1127","GIMBAL-00058","GIMBAL","Payload gimbal","MissionCritical","MU-023","COASTAL","Coastal Survey Base","1","5/5/2025 12:00:00 AM","297.0004","364.5200","300.0","300.0","99.00","121.51","0","1","1","1.2827","-64.5200","-50.30","24.0","REPLACE_AT_NEXT_SLOT","2.5","637.00","0","Book MU-023 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"170","218","GIMBAL-00014","GIMBAL","Payload gimbal","MissionCritical","MU-005","PORT","Port Logistics Hub","1","1/12/2026 12:00:00 AM","168.7665","341.6532","300.0","300.0","56.26","113.88","0","1","1","1.9127","-41.6532","-21.78","24.0","REPLACE_AT_NEXT_SLOT","2.5","639.50","0","Book MU-005 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"171","1080","GIMBAL-00056","GIMBAL","Payload gimbal","MissionCritical","MU-022","COASTAL","Coastal Survey Base","1","6/12/2025 12:00:00 AM","282.5834","341.0354","300.0","300.0","94.19","113.68","0","1","1","1.2703","-41.0354","-32.30","24.0","REPLACE_AT_NEXT_SLOT","2.5","642.00","0","Book MU-022 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"172","753","AIRDATA-00031","AIRDATA","Air data and pitot module","MissionCritical","MU-016","PORT","Port Logistics Hub","1","11/28/2025 12:00:00 AM","219.9000","435.8772","400.0","400.0","54.98","108.97","0","1","1","1.9188","-35.8772","-18.70","6.0","REPLACE_AT_NEXT_SLOT","2.5","644.50","0","Book MU-016 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"173","204","AIRDATA-00010","AIRDATA","Air data and pitot module","MissionCritical","MU-005","PORT","Port Logistics Hub","1","11/19/2025 12:00:00 AM","204.4998","414.1338","400.0","400.0","51.12","103.53","0","1","1","1.9127","-14.1338","-7.39","6.0","REPLACE_AT_NEXT_SLOT","2.5","647.00","0","Book MU-005 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"174","276","GIMBAL-00016","GIMBAL","Payload gimbal","MissionCritical","MU-006","COASTAL","Coastal Survey Base","1","7/19/2025 12:00:00 AM","256.4332","305.1845","300.0","300.0","85.48","101.73","0","1","1","1.0800","-5.1845","-4.80","24.0","REPLACE_AT_NEXT_SLOT","2.5","649.50","0","Book MU-006 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"175","169","GIMBAL-00011","GIMBAL","Payload gimbal","MissionCritical","MU-004","COASTAL","Coastal Survey Base","1","8/22/2025 12:00:00 AM","263.7661","302.8475","300.0","300.0","87.92","100.95","0","1","1","1.1001","-2.8475","-2.59","24.0","REPLACE_AT_NEXT_SLOT","2.5","652.00","0","Book MU-004 for Payload gimbal replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"176","347","AIRDATA-00015","AIRDATA","Air data and pitot module","MissionCritical","MU-008","HIGHLND","Highland Operations","1","11/28/2025 12:00:00 AM","186.2996","402.1619","400.0","400.0","46.57","100.54","0","1","1","2.3105","-2.1619","-0.94","6.0","REPLACE_AT_NEXT_SLOT","2.5","654.50","0","Book MU-008 for Air data and pitot module replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"177","848","AIRDATA-00035","AIRDATA","Air data and pitot module","MissionCritical","MU-018","HIGHLND","Highland Operations","1","12/26/2025 12:00:00 AM","165.3671","357.5495","400.0","400.0","41.34","89.39","0","0","0","2.1969","42.4505","19.32","6.0","SCHEDULE_THIS_MONTH","2.5","657.00","0","Schedule MU-018 within the month. Air data and pitot module projected to reach its stress limit in 19.32 flight hours."
"178","572","GIMBAL-00030","GIMBAL","Payload gimbal","MissionCritical","MU-012","COASTAL","Coastal Survey Base","1","9/18/2025 12:00:00 AM","234.9165","277.4795","300.0","300.0","78.31","92.49","0","0","0","1.0819","22.5205","20.82","24.0","ORDER_PART_NOW","0.0","657.00","0","Order a Payload gimbal for MU-012. Projected to reach its stress limit in 20.82 flight hours against a 24.0 hour lead time."
"179","695","AIRDATA-00029","AIRDATA","Air data and pitot module","MissionCritical","MU-015","PORT","Port Logistics Hub","1","1/17/2026 12:00:00 AM","178.9165","351.3893","400.0","400.0","44.73","87.85","0","0","0","1.9216","48.6107","25.30","6.0","SCHEDULE_THIS_MONTH","2.5","659.50","0","Schedule MU-015 within the month. Air data and pitot module projected to reach its stress limit in 25.30 flight hours."
"180","1","AIRDATA-00002","AIRDATA","Air data and pitot module","MissionCritical","MU-001","PORT","Port Logistics Hub","1","1/19/2026 12:00:00 AM","173.0506","347.6434","400.0","400.0","43.26","86.91","0","0","0","2.0638","52.3566","25.37","6.0","SCHEDULE_THIS_MONTH","2.5","662.00","0","Schedule MU-001 within the month. Air data and pitot module projected to reach its stress limit in 25.37 flight hours."
"181","976","AIRDATA-00041","AIRDATA","Air data and pitot module","MissionCritical","MU-020","HIGHLND","Highland Operations","1","1/29/2026 12:00:00 AM","159.4829","339.1374","400.0","400.0","39.87","84.78","0","0","0","2.2582","60.8626","26.95","6.0","SCHEDULE_THIS_MONTH","2.5","664.50","0","Schedule MU-020 within the month. Air data and pitot module projected to reach its stress limit in 26.95 flight hours."
"182","715","LANDGEAR-00046","LANDGEAR","Landing gear assembly","Degraded","MU-015","PORT","Port Logistics Hub","1","1/15/2026 12:00:00 AM","182.7165","360.0029","250.0","250.0","73.09","144.00","0","1","1","1.9216","-110.0029","-57.25","4.0","REPLACE_AT_NEXT_SLOT","1.5","666.00","0","Book MU-015 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"183","771","LANDGEAR-00049","LANDGEAR","Landing gear assembly","Degraded","MU-016","PORT","Port Logistics Hub","1","1/20/2026 12:00:00 AM","182.1000","358.3421","250.0","250.0","72.84","143.34","0","1","1","1.9188","-108.3421","-56.46","4.0","REPLACE_AT_NEXT_SLOT","1.5","667.50","0","Book MU-016 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"184","1042","LANDGEAR-00066","LANDGEAR","Landing gear assembly","Degraded","MU-021","ACADEMY","Training Academy","1","6/12/2025 12:00:00 AM","185.1667","346.6550","250.0","250.0","74.07","138.66","0","1","1","1.9149","-96.6550","-50.48","4.0","REPLACE_AT_NEXT_SLOT","1.5","669.00","0","Book MU-021 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"185","221","LANDGEAR-00016","LANDGEAR","Landing gear assembly","Degraded","MU-005","PORT","Port Logistics Hub","1","1/16/2026 12:00:00 AM","164.7832","335.2502","250.0","250.0","65.91","134.10","0","1","1","1.9127","-85.2502","-44.57","4.0","REPLACE_AT_NEXT_SLOT","1.5","670.50","0","Book MU-005 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"186","1297","LANDGEAR-00082","LANDGEAR","Landing gear assembly","Degraded","MU-026","ACADEMY","Training Academy","1","8/8/2025 12:00:00 AM","169.5337","319.9060","250.0","250.0","67.81","127.96","0","1","1","1.9301","-69.9060","-36.22","4.0","REPLACE_AT_NEXT_SLOT","1.5","672.00","0","Book MU-026 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"187","77","LANDGEAR-00007","LANDGEAR","Landing gear assembly","Degraded","MU-002","HIGHLND","Highland Operations","1","3/7/2026 12:00:00 AM","136.9167","311.4790","250.0","250.0","54.77","124.59","0","1","1","2.2807","-61.4790","-26.96","4.0","REPLACE_AT_NEXT_SLOT","1.5","673.50","0","Book MU-002 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"188","1473","LANDGEAR-00093","LANDGEAR","Landing gear assembly","Degraded","MU-030","PORT","Port Logistics Hub","1","3/13/2026 12:00:00 AM","135.2667","275.2786","250.0","250.0","54.11","110.11","0","1","1","1.9627","-25.2786","-12.88","4.0","REPLACE_AT_NEXT_SLOT","1.5","675.00","0","Book MU-030 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"189","20","LANDGEAR-00003","LANDGEAR","Landing gear assembly","Degraded","MU-001","PORT","Port Logistics Hub","1","3/17/2026 12:00:00 AM","131.1171","271.7515","250.0","250.0","52.45","108.70","0","1","1","2.0638","-21.7515","-10.54","4.0","REPLACE_AT_NEXT_SLOT","1.5","676.50","0","Book MU-001 for Landing gear assembly replacement. Past its stress interval; not flight-critical, so it can wait for a slot."
"190","1083","LANDGEAR-00069","LANDGEAR","Landing gear assembly","Degraded","MU-022","COASTAL","Coastal Survey Base","1","10/24/2025 12:00:00 AM","203.3836","248.0251","250.0","250.0","81.35","99.21","0","0","0","1.2703","1.9749","1.55","4.0","ORDER_PART_NOW","0.0","676.50","0","Order a Landing gear assembly for MU-022. Projected to reach its stress limit in 1.55 flight hours against a 4.0 hour lead time."
"191","1519","LANDGEAR-00095","LANDGEAR","Landing gear assembly","Degraded","MU-031","COASTAL","Coastal Survey Base","1","10/23/2025 12:00:00 AM","203.2167","240.0848","250.0","250.0","81.29","96.03","0","0","0","1.1562","9.9152","8.58","4.0","SCHEDULE_THIS_MONTH","1.5","678.00","0","Schedule MU-031 within the month. Landing gear assembly projected to reach its stress limit in 8.58 flight hours."
"192","365","LANDGEAR-00025","LANDGEAR","Landing gear assembly","Degraded","MU-008","HIGHLND","Highland Operations","1","4/22/2026 12:00:00 AM","102.3497","227.5985","250.0","250.0","40.94","91.04","0","0","0","2.3105","22.4015","9.70","4.0","SCHEDULE_THIS_MONTH","1.5","679.50","0","Schedule MU-008 within the month. Landing gear assembly projected to reach its stress limit in 9.70 flight hours."
"193","660","LANDGEAR-00043","LANDGEAR","Landing gear assembly","Degraded","MU-014","PORT","Port Logistics Hub","1","5/14/2026 12:00:00 AM","101.2167","201.7365","250.0","250.0","40.49","80.69","0","0","0","1.8671","48.2635","25.85","4.0","SCHEDULE_THIS_MONTH","1.5","681.00","0","Schedule MU-014 within the month. Landing gear assembly projected to reach its stress limit in 25.85 flight hours."
"194","934","LANDGEAR-00059","LANDGEAR","Landing gear assembly","Degraded","MU-019","PORT","Port Logistics Hub","1","4/20/2026 12:00:00 AM","97.4333","183.5789","250.0","250.0","38.97","73.43","0","0","0","1.8879","66.4211","35.18","4.0","SCHEDULE_THIS_MONTH","1.5","682.50","0","Schedule MU-019 within the month. Landing gear assembly projected to reach its stress limit in 35.18 flight hours."
