"PromiseNo","CustomerID","CustomerName","RiskTier","Segment","CollectorName","PromiseMadeDate","PromisedPayDate","PromisedAmount","CashInWindow","PctOfPromise","DaysSincePromised","PromiseStatus"
"PTP-000680","C0329","Northfield School District - Midwest","Low","Institutional","Priya Natarajan","2025-07-07","2025-07-15","1358.00","1484.78","109.34","169","Kept"
"PTP-000681","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-06-21","2025-07-15","3385.82","0.00","0.00","169","Broken"
"PTP-000685","C0236","Northfield Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-07-08","2025-07-16","586.54","1066.41","181.81","168","Kept"
"PTP-000683","C0074","Frontier Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-07-11","2025-07-16","2439.77","4737.55","194.18","168","Kept"
"PTP-000682","C0038","Summit Fabrication","High","OEM Manufacturer","Priya Natarajan","2025-07-12","2025-07-16","2362.23","24407.73","1033.25","168","Kept"
"PTP-000684","C0166","Apex School District","Low","Institutional","Marcus Bell","2025-07-06","2025-07-16","5586.19","5873.88","105.15","168","Kept"
"PTP-000686","C0132","Keystone Contracting","High","Contractor","Tomas Okafor","2025-07-02","2025-07-17","2903.12","0.00","0.00","167","Broken"
"PTP-000687","C0296","Crestview Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-07-12","2025-07-17","3345.67","11431.20","341.67","167","Kept"
"PTP-000691","C0296","Crestview Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-07-10","2025-07-18","4390.88","11431.20","260.34","166","Kept"
"PTP-000690","C0230","Frontier University Facilities - Southwest 3","Low","Institutional","Elena Ruiz","2025-07-14","2025-07-18","3694.78","4099.69","110.96","166","Kept"
"PTP-000689","C0134","Frontier MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-07-11","2025-07-18","1040.86","1100.26","105.71","166","Kept"
"PTP-000688","C0015","Granite Contracting","Low","Contractor","Tomas Okafor","2025-07-16","2025-07-18","6031.54","9727.66","161.28","166","Kept"
"PTP-000692","C0374","Bluewater University Facilities - West","Low","Institutional","Elena Ruiz","2025-07-10","2025-07-18","10030.39","10175.56","101.45","166","Kept"
"PTP-000697","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-06-29","2025-07-19","1175.50","0.00","0.00","165","Broken"
"PTP-000693","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-07-05","2025-07-19","758.29","0.00","0.00","165","Broken"
"PTP-000694","C0201","Titan Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-07-10","2025-07-19","9644.23","12005.64","124.49","165","Kept"
"PTP-000695","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-07-05","2025-07-19","4368.23","0.00","0.00","165","Broken"
"PTP-000696","C0299","Silverline Industries","Low","OEM Manufacturer","Marcus Bell","2025-07-07","2025-07-19","1501.83","6986.97","465.23","165","Kept"
"PTP-000701","C0342","Titan Medical Center","Medium","Institutional","Priya Natarajan","2025-07-15","2025-07-20","5855.01","6069.15","103.66","164","Kept"
"PTP-000698","C0006","Pioneer Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-07-15","2025-07-20","2588.87","2726.91","105.33","164","Kept"
"PTP-000699","C0042","Bluewater Industries","High","OEM Manufacturer","Priya Natarajan","2025-07-13","2025-07-20","8496.41","16754.27","197.19","164","Kept"
"PTP-000700","C0079","Cedar Ridge Machine Works","Low","OEM Manufacturer","Priya Natarajan","2025-07-12","2025-07-20","4149.30","12977.77","312.77","164","Kept"
"PTP-000703","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-07-11","2025-07-21","1509.69","11564.24","766.00","163","Kept"
"PTP-000702","C0255","Riverbend Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-07-13","2025-07-21","720.50","786.02","109.09","163","Kept"
"PTP-000706","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-07-03","2025-07-22","3387.71","0.00","0.00","162","Broken"
"PTP-000705","C0192","Keystone MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-07-13","2025-07-22","1063.95","1167.91","109.77","162","Kept"
"PTP-000707","C0306","Apex Builders - Southwest 3","Low","Contractor","Tomas Okafor","2025-07-09","2025-07-22","2216.15","2333.72","105.31","162","Kept"
"PTP-000704","C0171","Silverline Maintenance Supply - Southwest","Medium","MRO Reseller","Sam Horowitz","2025-07-10","2025-07-22","4064.42","4499.17","110.70","162","Kept"
"PTP-000710","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-07-11","2025-07-23","2169.53","23889.43","1101.13","161","Kept"
"PTP-000711","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-07-05","2025-07-23","2896.36","23889.43","824.81","161","Kept"
"PTP-000709","C0095","Stonegate Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-07-01","2025-07-23","3037.84","26367.40","867.97","161","Kept"
"PTP-000708","C0040","Apex MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-07-10","2025-07-23","292.66","0.00","0.00","161","Broken"
"PTP-000715","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-07-15","2025-07-23","881.45","0.00","0.00","161","Broken"
"PTP-000714","C0300","Cedar Ridge Contracting - West 3","Medium","Contractor","Tomas Okafor","2025-07-14","2025-07-23","1058.32","1132.24","106.98","161","Kept"
"PTP-000712","C0276","Oakmont Builders - West 3","Medium","Contractor","Elena Ruiz","2025-07-19","2025-07-23","5129.45","10269.07","200.20","161","Kept"
"PTP-000713","C0293","Stonegate Mechanical - Northeast","Medium","Contractor","Tomas Okafor","2025-07-16","2025-07-23","2790.91","2948.46","105.65","161","Kept"
"PTP-000717","C0259","Titan Builders - Southwest 3","Medium","Contractor","Elena Ruiz","2025-07-19","2025-07-24","802.25","1800.16","224.39","160","Kept"
"PTP-000716","C0124","Riverbend MRO Services - West","High","MRO Reseller","Grace Lindqvist","2025-07-21","2025-07-24","3586.75","4819.11","134.36","160","Kept"
"PTP-000718","C0353","Summit Mechanical - Southwest 3","High","Contractor","Priya Natarajan","2025-07-12","2025-07-24","5903.68","7817.88","132.42","160","Kept"
"PTP-000720","C0112","Ironbridge Fabrication - Midwest","Low","OEM Manufacturer","Marcus Bell","2025-07-09","2025-07-25","5369.47","6982.38","130.04","159","Kept"
"PTP-000719","C0094","Bluewater Industries - Southeast","Low","OEM Manufacturer","Marcus Bell","2025-07-16","2025-07-25","13959.03","14805.13","106.06","159","Kept"
"PTP-000721","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-07-09","2025-07-25","2180.81","0.00","0.00","159","Broken"
"PTP-000722","C0277","Lakeshore Construction - West","High","Contractor","Tomas Okafor","2025-07-05","2025-07-25","2579.18","0.00","0.00","159","Broken"
"PTP-000723","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-07-13","2025-07-25","2590.94","0.00","0.00","159","Broken"
"PTP-000724","C0324","Pioneer Construction","High","Contractor","Elena Ruiz","2025-07-13","2025-07-25","5500.55","0.00","0.00","159","Broken"
"PTP-000726","C0318","Riverbend Contracting - Midwest 3","Medium","Contractor","Elena Ruiz","2025-07-15","2025-07-26","800.24","805.56","100.66","158","Kept"
"PTP-000725","C0158","Frontier Mechanical","High","Contractor","Elena Ruiz","2025-07-14","2025-07-26","864.50","940.11","108.75","158","Kept"
"PTP-000727","C0376","Summit Components - Midwest","High","OEM Manufacturer","Priya Natarajan","2025-07-21","2025-07-26","9933.03","21635.31","217.81","158","Kept"
"PTP-000730","C0376","Summit Components - Midwest","High","OEM Manufacturer","Priya Natarajan","2025-07-25","2025-07-27","7154.29","18204.04","254.45","157","Kept"
"PTP-000731","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-07-03","2025-07-27","1351.25","0.00","0.00","157","Broken"
"PTP-000728","C0049","Westbrook Mechanical","Medium","Contractor","Elena Ruiz","2025-07-21","2025-07-27","833.35","2246.84","269.62","157","Kept"
"PTP-000729","C0324","Pioneer Construction","High","Contractor","Elena Ruiz","2025-07-07","2025-07-27","435.53","0.00","0.00","157","Broken"
"PTP-000738","C0351","Ironbridge Components","High","OEM Manufacturer","Priya Natarajan","2025-07-22","2025-07-28","1798.31","4070.89","226.37","156","Kept"
"PTP-000737","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-07-15","2025-07-28","643.35","0.00","0.00","156","Broken"
"PTP-000736","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-07-18","2025-07-28","4042.11","4189.77","103.65","156","Kept"
"PTP-000734","C0262","Titan Industrial Supply","Medium","MRO Reseller","Grace Lindqvist","2025-07-24","2025-07-28","2864.90","5003.23","174.64","156","Kept"
"PTP-000735","C0265","Westbrook Mechanical - Southwest 3","Medium","Contractor","Tomas Okafor","2025-07-26","2025-07-28","2634.13","3859.05","146.50","156","Kept"
"PTP-000733","C0253","Summit Industrial Supply","High","MRO Reseller","Sam Horowitz","2025-07-16","2025-07-28","644.06","697.89","108.36","156","Kept"
"PTP-000732","C0008","Silverline Maintenance Supply","Low","MRO Reseller","Sam Horowitz","2025-07-16","2025-07-28","1748.36","3437.21","196.60","156","Kept"
"PTP-000739","C0088","Westbrook Builders - West","High","Contractor","Elena Ruiz","2025-07-20","2025-07-29","756.05","5222.68","690.79","155","Kept"
"PTP-000740","C0201","Titan Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-07-26","2025-07-29","13626.69","29894.45","219.38","155","Kept"
"PTP-000741","C0277","Lakeshore Construction - West","High","Contractor","Tomas Okafor","2025-07-20","2025-07-29","944.09","0.00","0.00","155","Broken"
"PTP-000747","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-07-14","2025-07-31","6960.59","0.00","0.00","153","Broken"
"PTP-000745","C0206","Oakmont Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-07-19","2025-07-31","4603.58","6451.43","140.14","153","Kept"
"PTP-000746","C0265","Westbrook Mechanical - Southwest 3","Medium","Contractor","Tomas Okafor","2025-07-08","2025-07-31","780.34","2773.88","355.47","153","Kept"
"PTP-000744","C0143","Northfield Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-07-24","2025-07-31","2256.60","2268.26","100.52","153","Kept"
"PTP-000742","C0009","Ironbridge Fabrication","Medium","OEM Manufacturer","Marcus Bell","2025-07-22","2025-07-31","4273.20","6034.59","141.22","153","Kept"
"PTP-000743","C0074","Frontier Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-07-24","2025-07-31","6804.86","26437.70","388.51","153","Kept"
"PTP-000748","C0006","Pioneer Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-07-22","2025-08-01","1693.17","1743.69","102.98","152","Kept"
"PTP-000750","C0144","Frontier Electric","Medium","Contractor","Tomas Okafor","2025-07-26","2025-08-01","733.77","800.46","109.09","152","Kept"
"PTP-000749","C0077","Riverbend Industrial Supply","Low","MRO Reseller","Sam Horowitz","2025-07-25","2025-08-01","3658.81","6036.63","164.99","152","Kept"
"PTP-000751","C0316","Bluewater Parts & Service - Midwest 3","Medium","MRO Reseller","Sam Horowitz","2025-07-28","2025-08-01","2498.18","4938.24","197.67","152","Kept"
"PTP-000752","C0370","Cedar Ridge Construction - West 4","Low","Contractor","Tomas Okafor","2025-07-25","2025-08-01","1495.98","1528.86","102.20","152","Kept"
"PTP-000759","C0376","Summit Components - Midwest","High","OEM Manufacturer","Priya Natarajan","2025-07-24","2025-08-02","5105.52","8545.27","167.37","151","Kept"
"PTP-000758","C0308","Frontier Contracting - Midwest","Medium","Contractor","Tomas Okafor","2025-07-26","2025-08-02","6115.63","6500.94","106.30","151","Kept"
"PTP-000757","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-07-19","2025-08-02","1042.37","0.00","0.00","151","Broken"
"PTP-000756","C0077","Riverbend Industrial Supply","Low","MRO Reseller","Sam Horowitz","2025-07-29","2025-08-02","2040.83","6036.63","295.79","151","Kept"
"PTP-000753","C0031","Stonegate Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-07-26","2025-08-02","3557.04","7691.57","216.24","151","Kept"
"PTP-000755","C0069","Ironbridge Electric","High","Contractor","Elena Ruiz","2025-07-23","2025-08-02","3268.23","3368.13","103.06","151","Kept"
"PTP-000754","C0047","Titan Supply Co.","Low","MRO Reseller","Grace Lindqvist","2025-07-22","2025-08-02","562.83","6303.79","1120.02","151","Kept"
"PTP-000760","C0045","Lakeshore Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-07-28","2025-08-03","9037.13","11050.21","122.28","150","Kept"
"PTP-000761","C0108","Cedar Ridge Construction - Southeast","Medium","Contractor","Elena Ruiz","2025-07-26","2025-08-03","998.89","1085.91","108.71","150","Kept"
"PTP-000762","C0158","Frontier Mechanical","High","Contractor","Elena Ruiz","2025-07-23","2025-08-03","5315.60","5621.45","105.75","150","Kept"
"PTP-000764","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-07-11","2025-08-03","5755.96","0.00","0.00","150","Broken"
"PTP-000763","C0192","Keystone MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-07-30","2025-08-03","3782.67","3956.06","104.58","150","Kept"
"PTP-000765","C0297","Apex Mechanical - Southeast 3","High","Contractor","Tomas Okafor","2025-07-24","2025-08-03","1498.09","0.00","0.00","150","Broken"
"PTP-000770","C0304","Ironbridge Industrial Supply - Midwest 3","Medium","MRO Reseller","Grace Lindqvist","2025-07-30","2025-08-04","495.38","535.69","108.14","149","Kept"
"PTP-000769","C0300","Cedar Ridge Contracting - West 3","Medium","Contractor","Tomas Okafor","2025-07-26","2025-08-04","6790.98","7428.83","109.39","149","Kept"
"PTP-000772","C0350","Crestview Industries","Low","OEM Manufacturer","Marcus Bell","2025-07-29","2025-08-04","4933.70","5080.35","102.97","149","Kept"
"PTP-000771","C0341","Summit Supply Co. - Southeast","Medium","MRO Reseller","Grace Lindqvist","2025-07-23","2025-08-04","3207.16","3426.15","106.83","149","Kept"
"PTP-000768","C0167","Lakeshore MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-07-29","2025-08-04","3613.74","3822.50","105.78","149","Kept"
"PTP-000767","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-07-13","2025-08-04","4024.00","0.00","0.00","149","Broken"
"PTP-000766","C0008","Silverline Maintenance Supply","Low","MRO Reseller","Sam Horowitz","2025-07-27","2025-08-04","2911.15","3570.74","122.66","149","Kept"
"PTP-000773","C0372","Cedar Ridge Mechanical - Southeast 3","Low","Contractor","Tomas Okafor","2025-07-26","2025-08-04","999.59","1088.54","108.90","149","Kept"
"PTP-000774","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-07-17","2025-08-04","1022.37","0.00","0.00","149","Broken"
"PTP-000776","C0305","Titan Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-08-02","2025-08-05","4292.08","6694.94","155.98","148","Kept"
"PTP-000775","C0238","Oakmont Builders - Midwest","Low","Contractor","Tomas Okafor","2025-07-25","2025-08-05","1554.11","1620.92","104.30","148","Kept"
"PTP-000778","C0067","Cedar Ridge Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-07-29","2025-08-06","664.43","681.01","102.50","147","Kept"
"PTP-000777","C0065","Bluewater Maintenance Supply","Low","MRO Reseller","Grace Lindqvist","2025-08-02","2025-08-06","1484.87","4652.93","313.36","147","Kept"
"PTP-000779","C0094","Bluewater Industries - Southeast","Low","OEM Manufacturer","Marcus Bell","2025-07-29","2025-08-06","2740.60","20060.02","731.96","147","Kept"
"PTP-000780","C0094","Bluewater Industries - Southeast","Low","OEM Manufacturer","Marcus Bell","2025-08-02","2025-08-06","16135.40","20060.02","124.32","147","Kept"
"PTP-000783","C0121","Apex Manufacturing","Low","OEM Manufacturer","Marcus Bell","2025-08-02","2025-08-07","1655.10","1709.66","103.30","146","Kept"
"PTP-000782","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-08-03","2025-08-07","13231.06","21829.22","164.98","146","Kept"
"PTP-000781","C0045","Lakeshore Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-07-25","2025-08-07","1495.53","14811.42","990.38","146","Kept"
"PTP-000784","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-07-16","2025-08-08","4112.06","0.00","0.00","145","Broken"
"PTP-000785","C0082","Apex Supply Co.","Low","MRO Reseller","Grace Lindqvist","2025-07-28","2025-08-08","3455.61","4323.61","125.12","145","Kept"
"PTP-000786","C0287","Redline University Facilities - Southwest 4","Low","Institutional","Marcus Bell","2025-07-30","2025-08-08","3797.81","4032.12","106.17","145","Kept"
"PTP-000787","C0374","Bluewater University Facilities - West","Low","Institutional","Elena Ruiz","2025-08-01","2025-08-08","4092.42","4514.03","110.30","145","Kept"
"PTP-000790","C0297","Apex Mechanical - Southeast 3","High","Contractor","Tomas Okafor","2025-07-29","2025-08-09","2233.27","0.00","0.00","144","Broken"
"PTP-000791","C0324","Pioneer Construction","High","Contractor","Elena Ruiz","2025-07-30","2025-08-09","2644.27","0.00","0.00","144","Broken"
"PTP-000789","C0255","Riverbend Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-08-05","2025-08-09","4860.60","10258.74","211.06","144","Kept"
"PTP-000788","C0026","Northfield Components","Low","OEM Manufacturer","Priya Natarajan","2025-07-28","2025-08-09","1523.81","9045.68","593.62","144","Kept"
"PTP-000792","C0056","Northfield Components - Southwest","Medium","OEM Manufacturer","Priya Natarajan","2025-08-06","2025-08-10","6738.27","23473.25","348.36","143","Kept"
"PTP-000793","C0256","Oakmont School District","Medium","Institutional","Elena Ruiz","2025-08-07","2025-08-10","8353.34","14253.25","170.63","143","Kept"
"PTP-000794","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-07-24","2025-08-10","556.65","0.00","0.00","143","Broken"
"PTP-000795","C0284","Apex Manufacturing - Southwest 3","Low","OEM Manufacturer","Marcus Bell","2025-08-05","2025-08-10","6163.52","6502.20","105.49","143","Kept"
"PTP-000798","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-07-29","2025-08-11","3553.48","28721.06","808.25","142","Kept"
"PTP-000797","C0190","Harbor Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-07-31","2025-08-11","7501.90","8261.67","110.13","142","Kept"
"PTP-000796","C0133","Oakmont Construction","Medium","Contractor","Elena Ruiz","2025-08-03","2025-08-11","4681.41","4854.37","103.69","142","Kept"
"PTP-000800","C0111","Harbor Manufacturing","Medium","OEM Manufacturer","Marcus Bell","2025-08-04","2025-08-12","13073.79","20215.66","154.63","141","Kept"
"PTP-000801","C0127","Bluewater Parts & Service","Low","MRO Reseller","Sam Horowitz","2025-07-23","2025-08-12","1188.79","0.00","0.00","141","Broken"
"PTP-000799","C0073","Lakeshore Manufacturing","High","OEM Manufacturer","Priya Natarajan","2025-08-03","2025-08-12","1737.98","9622.72","553.67","141","Kept"
"PTP-000802","C0235","Riverbend Electric - Southeast","Medium","Contractor","Tomas Okafor","2025-08-08","2025-08-12","3377.77","8860.99","262.33","141","Kept"
"PTP-000803","C0235","Riverbend Electric - Southeast","Medium","Contractor","Tomas Okafor","2025-08-01","2025-08-12","5182.96","8860.99","170.96","141","Kept"
"PTP-000804","C0279","Ironbridge Medical Center - Northeast","Low","Institutional","Marcus Bell","2025-08-09","2025-08-12","1830.65","5213.65","284.80","141","Kept"
"PTP-000805","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-07-25","2025-08-12","2659.14","0.00","0.00","141","Broken"
"PTP-000807","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-07-30","2025-08-12","1338.13","0.00","0.00","141","Broken"
"PTP-000806","C0369","Lakeshore Components","High","OEM Manufacturer","Marcus Bell","2025-08-08","2025-08-12","3994.79","4344.32","108.75","141","Kept"
"PTP-000809","C0296","Crestview Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-08-01","2025-08-13","12386.96","13370.01","107.94","140","Kept"
"PTP-000808","C0255","Riverbend Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-08-07","2025-08-13","1632.73","1632.88","100.01","140","Kept"
"PTP-000812","C0282","Ironbridge Electric - Southeast","Low","Contractor","Elena Ruiz","2025-08-06","2025-08-14","2932.64","10254.99","349.68","139","Kept"
"PTP-000813","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-08-02","2025-08-14","4181.92","0.00","0.00","139","Broken"
"PTP-000814","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-07-25","2025-08-14","5339.01","0.00","0.00","139","Broken"
"PTP-000810","C0038","Summit Fabrication","High","OEM Manufacturer","Priya Natarajan","2025-08-02","2025-08-14","15349.58","17007.67","110.80","139","Kept"
"PTP-000811","C0094","Bluewater Industries - Southeast","Low","OEM Manufacturer","Marcus Bell","2025-08-06","2025-08-14","4322.20","8198.75","189.69","139","Kept"
"PTP-000816","C0138","Ironbridge Mechanical - Midwest 4","Low","Contractor","Tomas Okafor","2025-08-02","2025-08-15","2902.27","4771.81","164.42","138","Kept"
"PTP-000815","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-08-04","2025-08-15","615.98","4902.76","795.93","138","Kept"
"PTP-000817","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-07-29","2025-08-15","2122.70","0.00","0.00","138","Broken"
"PTP-000818","C0132","Keystone Contracting","High","Contractor","Tomas Okafor","2025-07-29","2025-08-16","1752.40","0.00","0.00","137","Broken"
"PTP-000820","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-07-23","2025-08-16","3376.93","0.00","0.00","137","Broken"
"PTP-000819","C0187","Stonegate Parts & Service","Medium","MRO Reseller","Grace Lindqvist","2025-08-08","2025-08-16","529.95","570.91","107.73","137","Kept"
"PTP-000823","C0277","Lakeshore Construction - West","High","Contractor","Tomas Okafor","2025-08-02","2025-08-17","819.97","0.00","0.00","136","Broken"
"PTP-000824","C0341","Summit Supply Co. - Southeast","Medium","MRO Reseller","Grace Lindqvist","2025-08-07","2025-08-17","626.97","688.32","109.79","136","Kept"
"PTP-000822","C0107","Silverline Mechanical","Low","Contractor","Elena Ruiz","2025-08-03","2025-08-17","7173.69","7794.01","108.65","136","Kept"
"PTP-000821","C0017","Silverline Fabrication","Low","OEM Manufacturer","Priya Natarajan","2025-08-15","2025-08-17","5232.17","5331.57","101.90","136","Kept"
"PTP-000825","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-08-01","2025-08-17","3625.26","0.00","0.00","136","Broken"
"PTP-000830","C0352","Pioneer Construction - Midwest","Low","Contractor","Tomas Okafor","2025-08-06","2025-08-18","5014.26","5451.16","108.71","135","Kept"
"PTP-000826","C0080","Frontier Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-08-07","2025-08-18","3103.41","3502.02","112.84","135","Kept"
"PTP-000829","C0310","Harbor Water Authority","Low","Institutional","Priya Natarajan","2025-08-11","2025-08-18","2960.90","3177.50","107.32","135","Kept"
"PTP-000828","C0246","Lakeshore Industrial Supply","Low","MRO Reseller","Sam Horowitz","2025-08-12","2025-08-18","2855.41","6075.80","212.78","135","Kept"
"PTP-000827","C0241","Lakeshore Industries - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-08-10","2025-08-18","12740.58","16077.89","126.19","135","Kept"
"PTP-000834","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-07-30","2025-08-19","821.50","0.00","0.00","134","Broken"
"PTP-000832","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-08-16","2025-08-19","2310.47","2325.91","100.67","134","Kept"
"PTP-000833","C0165","Northfield School District","Low","Institutional","Marcus Bell","2025-08-12","2025-08-19","993.31","1052.92","106.00","134","Kept"
"PTP-000831","C0001","Silverline MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-08-11","2025-08-19","3199.85","4215.13","131.73","134","Kept"
"PTP-000835","C0359","Stonegate Fabrication - West","High","OEM Manufacturer","Marcus Bell","2025-08-11","2025-08-19","1783.27","7150.69","400.99","134","Kept"
"PTP-000836","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-08-08","2025-08-20","10801.57","13589.54","125.81","133","Kept"
"PTP-000837","C0350","Crestview Industries","Low","OEM Manufacturer","Marcus Bell","2025-08-11","2025-08-20","1838.15","3859.59","209.97","133","Kept"
"PTP-000838","C0074","Frontier Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-08-16","2025-08-21","8683.96","15666.26","180.40","132","Kept"
"PTP-000839","C0133","Oakmont Construction","Medium","Contractor","Elena Ruiz","2025-08-11","2025-08-21","876.95","1401.78","159.85","132","Kept"
"PTP-000840","C0127","Bluewater Parts & Service","Low","MRO Reseller","Sam Horowitz","2025-08-18","2025-08-22","835.51","907.70","108.64","131","Kept"
"PTP-000841","C0228","Granite School District","Low","Institutional","Tomas Okafor","2025-08-16","2025-08-22","1736.58","1750.18","100.78","131","Kept"
"PTP-000843","C0218","Riverbend Parts & Service - Midwest","Low","MRO Reseller","Sam Horowitz","2025-08-12","2025-08-23","699.46","711.78","101.76","130","Kept"
"PTP-000844","C0297","Apex Mechanical - Southeast 3","High","Contractor","Tomas Okafor","2025-08-15","2025-08-23","1786.71","0.00","0.00","130","Broken"
"PTP-000842","C0035","Summit Mechanical","Low","Contractor","Tomas Okafor","2025-08-20","2025-08-23","5435.29","5678.84","104.48","130","Kept"
"PTP-000845","C0055","Silverline Components","Low","OEM Manufacturer","Priya Natarajan","2025-08-16","2025-08-24","10604.38","14688.83","138.52","129","Kept"
"PTP-000846","C0132","Keystone Contracting","High","Contractor","Tomas Okafor","2025-08-10","2025-08-24","2034.43","0.00","0.00","129","Broken"
"PTP-000847","C0201","Titan Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-08-12","2025-08-24","5291.90","23110.66","436.72","129","Kept"
"PTP-000848","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-08-06","2025-08-24","485.86","0.00","0.00","129","Broken"
"PTP-000849","C0366","Westbrook Industries - West","Medium","OEM Manufacturer","Marcus Bell","2025-08-15","2025-08-24","2805.61","2817.20","100.41","129","Kept"
"PTP-000854","C0237","Lakeshore School District","Low","Institutional","Tomas Okafor","2025-08-16","2025-08-25","8092.38","8198.39","101.31","128","Kept"
"PTP-000852","C0194","Riverbend Mechanical - Southeast","Medium","Contractor","Priya Natarajan","2025-08-18","2025-08-25","3709.78","3717.72","100.21","128","Kept"
"PTP-000853","C0225","Titan Parts & Service","High","MRO Reseller","Sam Horowitz","2025-08-15","2025-08-25","798.12","1636.55","205.05","128","Kept"
"PTP-000855","C0287","Redline University Facilities - Southwest 4","Low","Institutional","Marcus Bell","2025-08-15","2025-08-25","3042.73","6548.00","215.20","128","Kept"
"PTP-000851","C0136","Crestview Industrial Supply - West","High","MRO Reseller","Grace Lindqvist","2025-08-14","2025-08-25","2421.40","4462.20","184.28","128","Kept"
"PTP-000850","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-08-11","2025-08-25","1557.26","0.00","0.00","128","Broken"
"PTP-000856","C0020","Cedar Ridge MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-08-16","2025-08-26","977.70","982.47","100.49","127","Kept"
"PTP-000857","C0257","Granite Supply Co.","Medium","MRO Reseller","Sam Horowitz","2025-08-17","2025-08-26","2509.52","2609.31","103.98","127","Kept"
