"PriorityRank","CollectorRank","CustomerID","CustomerName","Segment","Region","RiskTier","CollectorID","CollectorName","Team","TermsCode","OpenBalance","PastDueBalance","Balance90Plus","DisputedBalance","WeightedExposure","DisputedWeightedExposure","CollectableExposure","NetCollectablePosition","IsFullyOffsetByCash","OldestDaysPastDue","CreditUtilizationPct","AvgDaysLateHistoric","UnappliedCash","NetExposure","BrokenPromises90d","ActionCode","CreditHoldFlag","IsTodaysWorklist","RecommendedAction"
"171","31","C0372","Cedar Ridge Mechanical - Southeast 3","Contractor","Southeast","Low","COL-04","Tomas Okafor","Commercial","NET30","13877.65","4105.84","0.00","13877.65","1026.46","1026.46","256.62","256.62","0","19","19.83","7.1","0.00","13877.65","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"172","36","C0054","Titan Manufacturing","OEM Manufacturer","Midwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET60","112760.39","20972.11","0.00","3051.37","6908.43","0.00","246.84","246.84","0","50","22.11","13.7","6661.59","106098.80","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"173","32","C0217","Apex Contracting - Southeast","Contractor","Southeast","Low","COL-04","Tomas Okafor","Commercial","NET30","6978.42","478.65","0.00","0.00","239.33","0.00","239.33","239.33","0","38","5.17","8.2","0.00","6978.42","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"174","37","C0176","Harbor Machine Works - Southeast","OEM Manufacturer","Southeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","11955.61","937.06","0.00","0.00","234.27","0.00","234.27","234.27","0","23","3.80","6.9","0.00","11955.61","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"175","33","C0123","Redline Mechanical","Contractor","Northeast","Low","COL-04","Tomas Okafor","Commercial","NET30","9091.02","922.45","0.00","0.00","230.61","0.00","230.61","230.61","0","5","11.36","7.4","0.00","9091.02","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"176","19","C0106","Cedar Ridge Industrial Supply - Midwest","MRO Reseller","Midwest","Low","COL-05","Grace Lindqvist","Small Business","NET30","8167.06","3602.50","0.00","3602.50","900.63","900.63","225.16","225.16","0","14","23.33","7.9","0.00","8167.06","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"177","34","C0119","Titan Builders","Contractor","Northeast","Medium","COL-04","Tomas Okafor","Commercial","2/10NET30","6348.50","2614.61","877.69","1736.92","1746.15","868.46","217.12","217.12","0","210","6.05","-3.0","877.69","5470.81","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"178","20","C0243","Cedar Ridge MRO Services - Southeast","MRO Reseller","Southeast","Low","COL-05","Grace Lindqvist","Small Business","NET30","2624.46","840.46","0.00","0.00","210.12","0.00","210.12","210.12","0","4","4.77","6.9","0.00","2624.46","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"179","17","C0126","Oakmont Parts & Service","MRO Reseller","West","Medium","COL-06","Sam Horowitz","Small Business","NET30","15136.15","1287.56","450.00","1690.65","659.39","0.00","209.39","209.39","0","284","23.29","16.1","450.00","14686.15","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"180","38","C0133","Oakmont Construction","Contractor","Midwest","Medium","COL-03","Elena Ruiz","Commercial","NET30","7984.12","836.45","0.00","0.00","209.11","0.00","209.11","209.11","0","6","6.94","15.3","0.00","7984.12","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"181","39","C0161","Titan Construction - Northeast","Contractor","Northeast","Low","COL-03","Elena Ruiz","Commercial","NET30","6816.73","836.24","0.00","0.00","209.06","0.00","209.06","209.06","0","3","5.68","7.0","0.00","6816.73","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"182","35","C0382","Summit Machine Works","OEM Manufacturer","Southwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","41598.56","827.05","0.00","2638.71","206.76","0.00","206.76","206.76","0","30","17.33","5.0","0.00","41598.56","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"183","18","C0067","Cedar Ridge Parts & Service","MRO Reseller","Southwest","Medium","COL-06","Sam Horowitz","Small Business","NET30","17029.11","816.28","0.00","4209.23","204.07","0.00","204.07","204.07","0","10","17.93","11.8","0.00","17029.11","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"184","40","C0358","Ironbridge Builders - West","Contractor","West","Low","COL-03","Elena Ruiz","Commercial","NET60","15439.14","813.25","0.00","0.00","203.31","0.00","203.31","203.31","0","5","11.44","6.0","0.00","15439.14","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"185","21","C0124","Riverbend MRO Services - West","MRO Reseller","West","High","COL-05","Grace Lindqvist","Small Business","NET30","6422.48","806.43","0.00","936.85","201.61","0.00","201.61","201.61","0","19","5.84","22.4","0.00","6422.48","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"186","35","C0303","Northfield Contracting","Contractor","Northeast","Medium","COL-04","Tomas Okafor","Commercial","NET30","10030.73","403.03","0.00","0.00","201.52","0.00","201.52","201.52","0","46","10.03","13.7","0.00","10030.73","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"187","19","C0295","Ironbridge Maintenance Supply","MRO Reseller","Northeast","Low","COL-06","Sam Horowitz","Small Business","2/10NET30","6558.94","3571.66","517.98","3053.68","1281.40","763.42","201.22","201.22","0","578","7.72","-19.0","507.62","6051.32","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"188","20","C0202","Harbor MRO Services","MRO Reseller","Southeast","Low","COL-06","Sam Horowitz","Small Business","NET30","11569.58","344.66","0.00","0.00","172.33","0.00","172.33","172.33","0","34","10.52","8.4","0.00","11569.58","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"189","22","C0140","Apex Parts & Service","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","12082.57","666.87","0.00","0.00","166.72","0.00","166.72","166.72","0","28","13.43","11.5","0.00","12082.57","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"190","23","C0118","Granite MRO Services","MRO Reseller","Southeast","Low","COL-05","Grace Lindqvist","Small Business","2/10NET30","2847.25","1339.14","514.90","824.24","1133.08","618.18","164.85","164.85","0","629","4.75","-2.9","504.60","2342.65","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"191","24","C0110","Riverbend Maintenance Supply - Northeast","MRO Reseller","Northeast","Low","COL-05","Grace Lindqvist","Small Business","2/10NET30","1096.23","637.64","0.00","0.00","159.41","0.00","159.41","159.41","0","18","1.04","-12.8","0.00","1096.23","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"192","25","C0398","Pioneer Parts & Service - Southwest","MRO Reseller","Southwest","High","COL-05","Grace Lindqvist","Small Business","NET30","3681.62","634.81","0.00","0.00","158.70","0.00","158.70","158.70","0","13","9.20","23.8","0.00","3681.62","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"193","26","C0089","Ironbridge Industrial Supply","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","2/10NET30","4971.44","2526.92","0.00","2526.92","631.73","631.73","157.93","157.93","0","17","7.10","-5.2","0.00","4971.44","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"194","27","C0020","Cedar Ridge MRO Services","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","9255.17","615.72","0.00","0.00","153.93","0.00","153.93","153.93","0","3","20.57","12.4","0.00","9255.17","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"195","36","C0289","Apex Builders - West","Contractor","West","Low","COL-04","Tomas Okafor","Commercial","NET60","14348.08","594.57","0.00","0.00","148.64","0.00","148.64","148.64","0","16","31.88","8.1","0.00","14348.08","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"196","21","C0028","Keystone Parts & Service","MRO Reseller","Southeast","Medium","COL-06","Sam Horowitz","Small Business","NET30","3324.65","1054.76","465.74","0.00","613.00","0.00","147.26","147.26","0","196","13.30","13.5","465.74","2858.91","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"197","37","C0330","Westbrook Electric - West","Contractor","West","Medium","COL-04","Tomas Okafor","Commercial","2/10NET30","14457.59","2342.10","0.00","2342.10","585.53","585.53","146.38","146.38","0","27","19.28","-4.2","0.00","14457.59","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"198","28","C0392","Apex Industrial Supply - Southwest 3","MRO Reseller","Southwest","High","COL-05","Grace Lindqvist","Small Business","NET30","7879.38","871.28","302.94","0.00","445.03","0.00","142.09","142.09","0","648","8.29","23.2","302.94","7576.44","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"199","38","C0396","Ironbridge Manufacturing","OEM Manufacturer","Southeast","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","43064.35","2090.95","0.00","2090.95","522.74","522.74","130.69","130.69","0","17","15.95","15.4","0.00","43064.35","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"200","41","C0033","Lakeshore Construction","Contractor","Southeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","4373.82","1994.89","0.00","1994.89","498.72","498.72","124.68","124.68","0","13","9.72","18.9","0.00","4373.82","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"201","42","C0168","Northfield Mechanical","Contractor","Southeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","1961.72","945.23","0.00","945.23","472.62","472.62","118.16","118.16","0","31","3.57","15.7","0.00","1961.72","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"202","22","C0270","Stonegate Maintenance Supply - Southeast","MRO Reseller","Southeast","Medium","COL-06","Sam Horowitz","Small Business","NET30","1359.35","472.56","0.00","0.00","118.14","0.00","118.14","118.14","0","7","3.02","13.1","0.00","1359.35","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"203","23","C0019","Northfield Supply Co.","MRO Reseller","Midwest","Medium","COL-06","Sam Horowitz","Small Business","2/10NET30","3854.57","461.63","0.00","0.00","115.41","0.00","115.41","115.41","0","6","4.53","-0.6","0.00","3854.57","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"204","36","C0214","Bluewater Industries - Midwest 3","OEM Manufacturer","Midwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","22154.77","1736.21","0.00","1736.21","434.05","434.05","108.51","108.51","0","19","8.06","7.6","0.00","22154.77","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"205","39","C0099","Northfield Water Authority","Institutional","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","16621.93","420.12","0.00","0.00","105.03","0.00","105.03","105.03","0","29","10.07","18.3","0.00","16621.93","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"206","43","C0107","Silverline Mechanical","Contractor","Southeast","Low","COL-03","Elena Ruiz","Commercial","2/10NET30","7599.96","4939.05","4939.05","0.00","4939.05","0.00","98.78","98.78","0","371","5.24","-8.1","4840.27","2759.69","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"207","24","C0332","Bluewater Parts & Service - Southwest 4","MRO Reseller","Southwest","Medium","COL-06","Sam Horowitz","Small Business","NET30","5667.19","352.21","0.00","0.00","88.05","0.00","88.05","88.05","0","10","8.72","11.1","0.00","5667.19","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"208","29","C0193","Silverline Industrial Supply - Northeast","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","18123.56","349.75","0.00","0.00","87.44","0.00","87.44","87.44","0","11","15.76","12.1","0.00","18123.56","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"209","25","C0400","Titan Supply Co. - Southeast 3","MRO Reseller","Southeast","Low","COL-06","Sam Horowitz","Small Business","NET30","5505.04","1354.03","0.00","1354.03","338.51","338.51","84.63","84.63","0","10","13.76","11.1","0.00","5505.04","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"210","44","C0002","Cedar Ridge Mechanical","Contractor","Midwest","Low","COL-03","Elena Ruiz","Commercial","2/10NET30","4392.29","335.48","0.00","0.00","83.87","0.00","83.87","83.87","0","11","3.14","-14.5","0.00","4392.29","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"211","45","C0141","Lakeshore Contracting","Contractor","Southwest","Low","COL-03","Elena Ruiz","Commercial","2/10NET30","1926.19","930.63","930.63","0.00","930.63","0.00","18.61","18.61","0","535","2.03","-14.2","912.02","1014.17","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"212","38","C0130","Keystone Mechanical","Contractor","Southeast","Low","COL-04","Tomas Okafor","Commercial","NET30","6621.13","5821.01","0.00","800.12","2495.77","0.00","18.07","18.07","0","48","4.73","8.4","2477.70","4143.43","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"213","30","C0134","Frontier MRO Services","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","2/10NET30","9406.40","902.13","902.13","0.00","902.13","0.00","18.04","18.04","0","264","10.45","-5.6","884.09","8522.31","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"214","26","C0196","Lakeshore MRO Services - Midwest","MRO Reseller","Midwest","Low","COL-06","Sam Horowitz","Small Business","2/10NET30","4212.75","4212.75","4212.75","0.00","4212.75","0.00","10.30","10.30","0","655","5.62","-13.6","4202.45","10.30","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"215","37","C0369","Lakeshore Components","OEM Manufacturer","Midwest","High","COL-02","Marcus Bell","Strategic Accounts","NET60","178177.24","44915.29","6803.73","2947.38","20277.18","736.85","0.00","-5846.56","1","558","32.69","23.3","25571.10","152606.14","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"216","40","C0139","Harbor Machine Works","OEM Manufacturer","Midwest","Medium","COL-01","Priya Natarajan","Strategic Accounts","NET45","82930.18","10532.97","5884.64","0.00","7445.04","0.00","0.00","-1494.66","1","264","14.55","11.5","8939.70","73990.48","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"217","39","C0380","Silverline Construction","Contractor","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","10996.37","3971.58","3971.58","0.00","3971.58","0.00","0.00","0.00","1","389","36.65","4.8","3971.58","7024.79","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"218","41","C0017","Silverline Fabrication","OEM Manufacturer","Southwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","107560.49","3923.60","3923.60","14778.53","3923.60","0.00","0.00","0.00","1","307","21.51","7.6","3923.60","103636.89","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"219","42","C0376","Summit Components - Midwest","OEM Manufacturer","Midwest","High","COL-01","Priya Natarajan","Strategic Accounts","NET45","98197.19","27755.26","3775.75","1902.49","10246.25","951.25","0.00","-2365.04","1","103","17.38","26.2","11897.85","86299.34","2","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"220","43","C0326","Pioneer Manufacturing","OEM Manufacturer","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","65312.72","3702.23","3702.23","7363.33","3702.23","0.00","0.00","0.00","1","682","20.73","6.5","3702.23","61610.49","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"221","31","C0391","Keystone MRO Services - Northeast","MRO Reseller","Northeast","Low","COL-05","Grace Lindqvist","Small Business","NET30","8584.88","6254.84","3595.83","0.00","4260.58","0.00","0.00","-1813.62","1","111","28.62","4.9","6074.20","2510.68","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"222","32","C0151","Riverbend MRO Services - Northeast 3","MRO Reseller","Northeast","Low","COL-05","Grace Lindqvist","Small Business","NET30","8215.01","2414.29","2414.29","831.71","2414.29","0.00","0.00","-685.52","1","511","6.85","5.8","3099.81","5115.20","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"223","38","C0045","Lakeshore Machine Works","OEM Manufacturer","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","27739.38","2288.75","2288.75","0.00","2288.75","0.00","0.00","0.00","1","159","10.47","10.3","2288.75","25450.63","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"224","46","C0307","Westbrook Contracting - Northeast","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","6751.30","1806.13","1806.13","3277.72","1806.13","0.00","0.00","0.00","1","123","7.94","14.3","1806.13","4945.17","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"225","39","C0147","Apex Manufacturing - Northeast","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","103119.74","15008.06","1792.87","2110.50","5096.67","0.00","0.00","-7448.55","1","587","22.66","5.2","12545.22","90574.52","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"226","47","C0058","Lakeshore Builders","Contractor","Southwest","Low","COL-03","Elena Ruiz","Commercial","NET60","12680.10","1653.18","1653.18","0.00","1653.18","0.00","0.00","0.00","1","458","23.05","5.1","1653.18","11026.92","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"227","33","C0080","Frontier Maintenance Supply","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","21192.47","1576.11","1576.11","0.00","1576.11","0.00","0.00","0.00","1","96","42.38","11.2","1576.11","19616.36","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"228","44","C0170","Titan Industries","OEM Manufacturer","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","122676.78","1529.01","1529.01","11157.59","1529.01","0.00","0.00","0.00","1","436","21.15","5.7","1529.01","121147.77","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"229","48","C0115","Ironbridge Contracting","Contractor","Northeast","Low","COL-03","Elena Ruiz","Commercial","NET30","6886.48","1417.00","1417.00","0.00","1417.00","0.00","0.00","0.00","1","504","10.59","7.5","1417.00","5469.48","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"230","40","C0034","Crestview Contracting","Contractor","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","4962.52","1402.84","1402.84","831.71","1402.84","0.00","0.00","0.00","1","396","6.62","5.5","1402.84","3559.68","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"231","34","C0186","Redline Parts & Service - Northeast","MRO Reseller","Northeast","Low","COL-05","Grace Lindqvist","Small Business","NET30","6839.92","1041.56","1041.56","0.00","1041.56","0.00","0.00","0.00","1","238","6.84","5.9","1041.56","5798.36","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"232","49","C0128","Summit Builders","Contractor","Southwest","Low","COL-03","Elena Ruiz","Commercial","NET60","28993.47","1188.03","847.17","0.00","1017.60","0.00","0.00","-170.43","1","102","23.19","5.7","1188.03","27805.44","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"233","41","C0238","Oakmont Builders - Midwest","Contractor","Midwest","Low","COL-04","Tomas Okafor","Commercial","NET30","32487.23","843.00","843.00","0.00","843.00","0.00","0.00","0.00","1","117","22.40","3.2","843.00","31644.23","1","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"234","42","C0265","Westbrook Mechanical - Southwest 3","Contractor","Southwest","Medium","COL-04","Tomas Okafor","Commercial","NET60","28932.36","822.99","822.99","0.00","822.99","0.00","0.00","0.00","1","206","34.04","11.7","822.99","28109.37","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"235","43","C0251","Silverline Mechanical - Southwest","Contractor","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","13038.52","4924.60","800.42","0.00","1831.47","0.00","0.00","-2234.19","1","500","9.31","7.6","4065.66","8972.86","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"236","27","C0182","Lakeshore Parts & Service","MRO Reseller","Midwest","Medium","COL-06","Sam Horowitz","Small Business","NET30","5031.57","574.59","574.59","0.00","574.59","0.00","0.00","0.00","1","536","10.06","14.9","574.59","4456.98","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"237","28","C0008","Silverline Maintenance Supply","MRO Reseller","Southwest","Low","COL-06","Sam Horowitz","Small Business","NET30","12272.84","507.20","507.20","0.00","507.20","0.00","0.00","0.00","1","349","11.69","5.8","507.20","11765.64","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"238","44","C0076","Cedar Ridge Construction","Contractor","West","Low","COL-04","Tomas Okafor","Commercial","NET60","11130.61","365.01","365.01","0.00","365.01","0.00","0.00","0.00","1","266","10.12","5.4","365.01","10765.60","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"239","45","C0298","Cedar Ridge Contracting - Northeast","Contractor","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET30","11454.01","1857.57","345.10","0.00","723.22","0.00","0.00","-868.74","1","502","7.64","4.5","1591.96","9862.05","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"240","35","C0010","Westbrook MRO Services","MRO Reseller","West","Low","COL-05","Grace Lindqvist","Small Business","2/10NET30","5869.44","0.00","0.00","1281.60","0.00","0.00","0.00","0.00","1","-2","6.52","-16.2","0.00","5869.44","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"241","45","C0021","Stonegate Electric","Contractor","Northeast","Low","COL-04","Tomas Okafor","Commercial","2/10NET30","923.64","0.00","0.00","923.64","0.00","0.00","0.00","0.00","1","0","1.23","-19.6","0.00","923.64","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"242","50","C0025","Oakmont County Facilities","Institutional","West","Low","COL-03","Elena Ruiz","Commercial","NET90","8881.87","2594.37","0.00","0.00","648.59","0.00","0.00","-579.68","1","16","13.66","21.9","1228.27","7653.60","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"243","40","C0027","Oakmont Machine Works","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","39822.84","0.00","0.00","18093.50","0.00","0.00","0.00","0.00","1","-9","17.31","5.0","0.00","39822.84","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"244","46","C0051","Silverline Builders","Contractor","West","Low","COL-04","Tomas Okafor","Commercial","2/10NET30","15090.94","6456.32","0.00","0.00","1614.08","0.00","0.00","-4842.24","1","3","43.12","-17.9","6456.32","8634.62","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"245","47","C0083","Bluewater Builders","Contractor","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","20509.28","0.00","0.00","3138.36","0.00","0.00","0.00","0.00","1","-3","51.27","6.8","0.00","20509.28","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"246","36","C0096","Redline Parts & Service","MRO Reseller","Southwest","Low","COL-05","Grace Lindqvist","Small Business","2/10NET30","11296.82","0.00","0.00","3287.34","0.00","0.00","0.00","0.00","1","-8","13.29","-14.0","0.00","11296.82","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"247","41","C0120","Ironbridge Medical Center","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","19625.94","0.00","0.00","4525.91","0.00","0.00","0.00","0.00","1","-10","11.21","21.7","0.00","19625.94","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"248","46","C0122","Frontier Fabrication - Northeast","OEM Manufacturer","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","62245.00","17423.12","0.00","4945.51","4564.30","0.00","0.00","-12024.73","1","48","14.31","5.1","16589.03","45655.97","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"249","48","C0138","Ironbridge Mechanical - Midwest 4","Contractor","Midwest","Low","COL-04","Tomas Okafor","Commercial","NET30","18461.95","6650.25","0.00","931.61","3092.22","232.90","0.00","-2801.10","1","38","13.19","6.4","5718.64","12743.31","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"250","51","C0160","Summit Electric","Contractor","Midwest","Low","COL-03","Elena Ruiz","Commercial","2/10NET30","6453.66","0.00","0.00","3072.60","0.00","0.00","0.00","0.00","1","-7","5.38","-15.7","0.00","6453.66","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"251","52","C0180","Titan Contracting","Contractor","Southwest","Low","COL-03","Elena Ruiz","Commercial","NET60","10549.44","2126.20","0.00","0.00","1063.10","0.00","0.00","-1063.10","1","39","42.20","2.9","2126.20","8423.24","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"252","29","C0185","Harbor Supply Co.","MRO Reseller","Southwest","Low","COL-06","Sam Horowitz","Small Business","NET30","4918.35","2387.01","0.00","0.00","1790.26","0.00","0.00","-596.75","1","73","8.20","7.2","2387.01","2531.34","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
