"PriorityRank","BuyerRank","PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","IsSingleSource","VendorID","VendorName","VendorTier","LumenRevenueSharePct","BuyerID","BuyerName","Team","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","TTMQty","TTMSpend","AnnualOpportunity","RejectedValue","PPV","OffContractSpend","AcceptanceRatePct","LeverageScore","ActionCode","IsThisQuarter","RecommendedAction"
"129","37","LOM-0140","Optical Coating Module 0140","Optical Coating","Standard","2","4","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-03","Mei-Ling Chow","Optics & Coatings","76.3311","67.7225","66.0989","5.00","4.175","83.50","1.6236","2261","155225.25","3670.87","2113.45","-1004.69","0.00","98.51","56.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"130","31","LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-04","Johan Lindberg","Optics & Coatings","28.7181","28.0687","24.0350","7.00","0.928","13.26","4.0337","883","24148.48","3561.76","217.86","","24148.48","99.09","90.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"131","19","LOM-0037","Precision Mount Module 0037","Precision Mount","Standard","2","4","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-05","Priya Raghunathan","Mechanical & Thermal","119.7901","118.5639","113.6465","2.00","0.394","19.70","4.9174","671","79860.52","3299.58","358.28","0.00","0.00","99.27","65.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"132","20","LOM-0093","Precision Mount Module 0093","Precision Mount","Standard","2","4","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-05","Priya Raghunathan","Mechanical & Thermal","96.9607","94.2922","91.5615","2.00","0.979","48.95","2.7307","1175","111076.02","3208.53","755.00","-620.67","0.00","99.18","56.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"133","38","LOM-0102","Fibre Connector Component 0102","Fibre Connector","Commodity","2","0","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-03","Mei-Ling Chow","Optics & Coatings","24.4647","20.4809","19.9805","7.00","6.172","88.17","0.5004","6387","137637.38","3195.90","1292.07","-818.56","0.00","99.02","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"134","39","LOM-0126","Fibre Connector Module 0126","Fibre Connector","Standard","3","4","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-03","Mei-Ling Chow","Optics & Coatings","15.0402","13.1292","12.4017","7.00","4.983","71.19","0.7275","4344","56583.00","3160.14","454.41","636.18","0.00","99.19","79.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"135","15","LOM-0089","Photodetector Assy 0089","Photodetector","Critical","1","8","1","VEN-014","Photonica Industries","Preferred","4.81","BUY-02","Rafael Duarte","Optoelectronics","247.3183","206.6903","203.7540","6.50","6.035","92.85","2.9363","984","215560.72","2889.36","1568.90","","215560.72","99.17","31.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"136","32","LOM-0070","Fibre Connector Component 0070","Fibre Connector","Commodity","3","1","0","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-04","Johan Lindberg","Optics & Coatings","16.3670","15.2897","13.8731","7.00","2.945","42.07","1.4166","1727","25960.35","2446.42","330.41","","25960.35","98.73","73.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"137","40","LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","0","VEN-020","Meridian Photonics Industries","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","37.6164","33.6718","33.5301","4.00","3.856","96.40","0.1417","17019","578524.14","2410.89","3146.89","-3617.55","0.00","99.31","79.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"138","41","LOM-0114","Optical Fibre Assy 0114","Optical Fibre","Critical","3","11","0","VEN-027","Crystalline Technologies","Approved","14.24","BUY-03","Mei-Ling Chow","Optics & Coatings","15.3515","14.1587","13.7466","4.00","2.946","73.65","0.4121","5569","78235.03","2294.98","478.10","-614.78","0.00","99.39","66.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"139","42","LOM-0110","Fibre Connector Component 0110","Fibre Connector","Commodity","3","1","0","VEN-014","Photonica Industries","Preferred","4.81","BUY-03","Mei-Ling Chow","Optics & Coatings","24.6963","21.2288","20.3387","7.00","5.499","78.56","0.8901","2339","49654.16","2081.94","318.44","0.00","0.00","99.27","77.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"140","33","LOM-0059","Lens Assembly Component 0059","Lens Assembly","Commodity","2","0","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-04","Johan Lindberg","Optics & Coatings","245.5689","238.9595","229.2821","3.00","1.204","40.13","9.6774","211","50810.48","2041.93","962.39","0.00","0.00","98.10","82.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"141","43","LOM-0022","Fibre Connector Component 0022","Fibre Connector","Commodity","2","0","0","VEN-012","Aperture Industries","Preferred","4.72","BUY-03","Mei-Ling Chow","Optics & Coatings","9.9980","8.5964","8.3029","7.00","5.730","81.86","0.2935","6822","59773.36","2002.26","546.17","172.50","0.00","99.09","63.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"142","34","LOM-0107","Lens Assembly Module 0107","Lens Assembly","Standard","2","3","0","VEN-018","Northlight Industries","Approved","17.17","BUY-04","Johan Lindberg","Optics & Coatings","250.0097","234.5550","230.5665","3.00","2.372","79.07","3.9885","486","114631.59","1938.41","1414.93","0.00","0.00","98.50","75.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"143","35","LOM-0011","Lens Assembly Module 0011","Lens Assembly","Standard","3","5","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-04","Johan Lindberg","Optics & Coatings","350.7170","329.8329","324.8932","3.00","2.416","80.53","4.9397","390","129497.30","1926.48","2329.36","0.00","0.00","98.21","79.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"144","11","LOM-0071","Thermal Control Component 0071","Thermal Control","Commodity","3","1","0","VEN-013","Lumitek Industries","Preferred","9.15","BUY-06","Tomas Varga","Mechanical & Thermal","79.9559","79.9380","71.2977","5.50","0.011","0.20","8.6403","221","17666.30","1909.51","79.93","0.00","0.00","99.55","86.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"145","44","LOM-0116","Optical Coating Assy 0116","Optical Coating","Critical","2","9","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-03","Mei-Ling Chow","Optics & Coatings","49.9856","44.6581","43.4541","5.00","4.045","80.90","1.2040","1566","70028.68","1885.46","939.91","-245.56","0.00","98.45","52.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"146","21","LOM-0015","Thermal Control Module 0015","Thermal Control","Standard","3","5","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-05","Priya Raghunathan","Mechanical & Thermal","86.9779","76.9912","74.7169","5.50","4.439","80.71","2.2743","744","58668.90","1692.08","471.62","0.00","0.00","99.17","79.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"147","36","LOM-0022","Fibre Connector Component 0022","Fibre Connector","Commodity","2","0","0","VEN-015","Crystalline Industries","Preferred","3.57","BUY-04","Johan Lindberg","Optics & Coatings","10.2266","9.9462","8.7049","7.00","1.244","17.77","1.2413","1352","13447.26","1678.24","159.14","0.00","0.00","98.82","55.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"148","22","LOM-0071","Thermal Control Component 0071","Thermal Control","Commodity","3","1","0","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-05","Priya Raghunathan","Mechanical & Thermal","79.9946","70.0650","67.7683","5.50","4.419","80.35","2.2967","684","48881.47","1570.92","288.06","-78.98","0.00","99.14","69.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"149","12","LOM-0133","Precision Mount Module 0133","Precision Mount","Standard","2","3","0","VEN-018","Northlight Industries","Approved","17.17","BUY-06","Tomas Varga","Mechanical & Thermal","99.1733","97.4973","94.2678","2.00","0.677","33.85","3.2295","458","45100.80","1479.11","592.20","212.03","0.00","98.69","75.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"150","37","LOM-0099","Lens Assembly Module 0099","Lens Assembly","Standard","3","4","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-04","Johan Lindberg","Optics & Coatings","107.2827","104.4651","98.8731","3.00","0.988","32.93","5.5920","259","27210.61","1448.33","210.34","0.00","0.00","99.23","70.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"151","38","LOM-0116","Optical Coating Assy 0116","Optical Coating","Critical","2","9","0","VEN-028","Spectra Technologies","Approved","8.62","BUY-04","Johan Lindberg","Optics & Coatings","49.6859","46.3132","43.4691","5.00","2.661","53.22","2.8441","503","22905.09","1430.58","224.41","","22905.09","98.61","56.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"152","45","LOM-0020","Optical Coating Component 0020","Optical Coating","Commodity","3","1","0","VEN-002","Photonica GmbH","Strategic","2.49","BUY-03","Mei-Ling Chow","Optics & Coatings","62.4716","56.3850","54.7308","5.00","3.897","77.94","1.6542","832","47667.01","1376.29","742.45","754.68","0.00","98.44","69.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"153","46","LOM-0060","Optical Coating Module 0060","Optical Coating","Standard","2","3","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-03","Mei-Ling Chow","Optics & Coatings","31.7883","28.5704","28.0257","5.00","4.253","85.06","0.5447","2386","68573.38","1299.65","833.04","-85.07","0.00","98.78","56.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"154","23","LOM-0021","Precision Mount Module 0021","Precision Mount","Standard","3","4","0","VEN-020","Meridian Photonics Industries","Approved","12.07","BUY-05","Priya Raghunathan","Mechanical & Thermal","86.6152","83.9396","82.7110","2.00","1.365","68.25","1.2286","995","84691.73","1222.46","854.58","-345.10","0.00","98.99","79.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"155","39","LOM-0020","Optical Coating Component 0020","Optical Coating","Commodity","3","1","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-04","Johan Lindberg","Optics & Coatings","62.4716","59.1252","56.7899","5.00","2.918","58.36","2.3353","473","27966.22","1104.60","591.26","0.00","0.00","97.89","86.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"156","40","LOM-0091","Lens Assembly Component 0091","Lens Assembly","Commodity","3","1","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-04","Johan Lindberg","Optics & Coatings","314.1527","295.0680","290.4898","3.00","2.408","80.27","4.5782","241","71111.39","1103.35","885.21","0.00","0.00","98.76","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"157","41","LOM-0124","Optical Coating Module 0124","Optical Coating","Standard","3","5","0","VEN-006","Northlight GmbH","Strategic","4.77","BUY-04","Johan Lindberg","Optics & Coatings","147.5500","132.7229","131.1506","5.00","4.506","90.12","1.5723","633","84013.59","995.27","929.06","0.00","0.00","98.89","70.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"158","47","LOM-0075","Lens Assembly Module 0075","Lens Assembly","Standard","3","5","0","VEN-036","Aperture Technologies","Transactional","30.07","BUY-03","Mei-Ling Chow","Optics & Coatings","326.9255","302.7148","301.3719","3.00","2.838","94.60","1.3429","726","223968.49","974.95","4007.94","3250.54","0.00","98.17","89.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"159","42","LOM-0060","Optical Coating Module 0060","Optical Coating","Standard","2","3","0","VEN-033","Oribel Technologies","Transactional","17.66","BUY-04","Johan Lindberg","Optics & Coatings","31.7883","35.1881","27.6006","5.00","-3.758","-75.16","7.5875","109","3835.50","827.03","0.00","","3835.50","","79.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"160","48","LOM-0014","Fibre Connector Component 0014","Fibre Connector","Commodity","2","0","0","VEN-020","Meridian Photonics Industries","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","12.8643","10.4829","10.4251","7.00","6.823","97.47","0.0578","9823","103402.37","567.77","706.13","-66.71","0.00","99.15","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"161","13","LOM-0093","Precision Mount Module 0093","Precision Mount","Standard","2","4","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-06","Tomas Varga","Mechanical & Thermal","95.9011","93.4807","90.8302","2.00","0.946","47.30","2.6505","212","19817.91","561.91","186.96","0.00","0.00","99.06","75.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"162","21","LOM-0088","Laser Diode Component 0088","Laser Diode","Commodity","3","1","0","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-01","Adaeze Okonkwo","Optoelectronics","297.1990","237.9596","237.6239","8.00","7.951","99.39","0.3357","1232","292146.16","413.64","2140.02","1839.06","0.00","99.27","69.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"163","24","LOM-0077","Precision Mount Assy 0077","Precision Mount","Critical","2","9","0","VEN-001","Lumitek GmbH","Strategic","1.37","BUY-05","Priya Raghunathan","Mechanical & Thermal","249.9879","236.3116","235.9721","2.00","1.951","97.55","0.3395","675","159510.34","229.16","945.24","0.00","0.00","99.28","35.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"164","14","LOM-0007","Thermal Control Module 0007","Thermal Control","Standard","3","5","0","VEN-022","Vectra Industries","Approved","12.65","BUY-06","Tomas Varga","Mechanical & Thermal","155.3694","134.7713","134.2550","5.50","5.360","97.45","0.5163","399","55159.26","206.00","424.26","-815.33","0.00","98.99","79.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"165","15","LOM-0015","Thermal Control Module 0015","Thermal Control","Standard","3","5","0","VEN-012","Aperture Industries","Preferred","4.72","BUY-06","Tomas Varga","Mechanical & Thermal","88.5655","77.4258","77.1992","5.50","5.385","97.91","0.2266","475","37684.18","107.64","163.10","397.54","0.00","99.42","70.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"166","43","LOM-0091","Lens Assembly Component 0091","Lens Assembly","Commodity","3","1","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-04","Johan Lindberg","Optics & Coatings","314.1527","290.7165","290.5429","3.00","2.977","99.23","0.1736","499","147169.33","86.64","2044.10","-1148.15","0.00","98.60","86.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"167","22","LOM-0112","Laser Diode Component 0112","Laser Diode","Commodity","2","0","0","VEN-004","Spectra GmbH","Strategic","1.51","BUY-01","Adaeze Okonkwo","Optoelectronics","990.2902","699.4987","794.6914","8.00","12.341","154.26","-95.1927","970","748493.18","0.00","55312.42","-386.04","0.00","91.85","55.0","FIX_QUALITY","0","Quality first: the loss here is rejected material, not price. Open a corrective action with the supplier before discussing cost."
"168","49","LOM-0018","Optical Fibre Component 0018","Optical Fibre","Commodity","3","1","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-03","Mei-Ling Chow","Optics & Coatings","36.6648","32.6028","32.8103","4.00","4.223","105.58","-0.2075","15621","518750.69","0.00","3155.59","-3063.16","0.00","99.24","86.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"169","23","LOM-0017","Photodetector Module 0017","Photodetector","Standard","2","4","0","VEN-018","Northlight Industries","Approved","17.17","BUY-01","Adaeze Okonkwo","Optoelectronics","496.1843","409.1377","410.8212","6.50","6.637","102.11","-1.6835","1207","490628.94","0.00","3642.13","-7776.10","0.00","99.16","75.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"170","24","LOM-0080","Laser Diode Module 0080","Laser Diode","Standard","3","5","0","VEN-004","Spectra GmbH","Strategic","1.51","BUY-01","Adaeze Okonkwo","Optoelectronics","501.9232","351.1076","394.6732","8.00","11.658","145.73","-43.5656","948","358229.94","0.00","31436.00","","358229.94","91.24","66.0","FIX_QUALITY","0","Quality first: the loss here is rejected material, not price. Open a corrective action with the supplier before discussing cost."
"171","50","LOM-0050","Optical Fibre Module 0050","Optical Fibre","Standard","2","2","0","VEN-020","Meridian Photonics Industries","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","28.9311","20.5132","26.0752","4.00","12.632","315.80","-5.5620","16885","350455.91","0.00","2485.34","-2734.51","0.00","99.29","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"172","16","LOM-0063","Thermal Control Component 0063","Thermal Control","Commodity","3","1","0","VEN-022","Vectra Industries","Approved","12.65","BUY-06","Tomas Varga","Mechanical & Thermal","254.1553","216.9588","217.7850","5.50","5.632","102.40","-0.8262","1435","314555.83","0.00","2200.51","661.91","0.00","99.24","86.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"173","25","LOM-0095","Thermal Control Component 0095","Thermal Control","Commodity","1","0","1","VEN-028","Spectra Technologies","Approved","8.62","BUY-05","Priya Raghunathan","Mechanical & Thermal","194.8669","166.3007","167.5771","5.50","5.771","104.93","-1.2764","1796","301950.75","0.00","2702.02","-200.72","0.00","99.11","50.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"174","26","LOM-0045","Precision Mount Module 0045","Precision Mount","Standard","2","3","0","VEN-017","Helix Optics Industries","Approved","10.21","BUY-05","Priya Raghunathan","Mechanical & Thermal","215.6098","203.7877","204.4611","2.00","2.123","106.15","-0.6734","1427","296432.44","0.00","2069.08","-60.54","0.00","99.22","65.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"175","44","LOM-0051","Lens Assembly Assy 0051","Lens Assembly","Critical","1","6","1","VEN-029","Helix Optics Technologies","Transactional","36.48","BUY-04","Johan Lindberg","Optics & Coatings","290.4277","265.5249","268.5764","3.00","3.431","114.37","-3.0515","848","225360.51","0.00","3985.04","-1439.42","0.00","98.23","46.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"176","25","LOM-0040","Laser Diode Component 0040","Laser Diode","Commodity","3","1","0","VEN-033","Oribel Technologies","Transactional","17.66","BUY-01","Adaeze Okonkwo","Optoelectronics","195.3514","153.9206","155.8409","8.00","8.419","105.24","-1.9203","1097","170604.06","0.00","1244.90","-1196.52","0.00","99.27","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"177","51","LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","0","VEN-029","Helix Optics Technologies","Transactional","36.48","BUY-03","Mei-Ling Chow","Optics & Coatings","76.0924","64.9487","65.4744","5.00","5.262","105.24","-0.5257","2120","138121.38","0.00","2209.90","-1660.17","0.00","98.14","82.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"178","26","LOM-0105","Photodetector Component 0105","Photodetector","Commodity","2","0","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-01","Adaeze Okonkwo","Optoelectronics","107.5608","87.6443","92.3414","6.50","8.627","132.72","-4.6971","752","73352.48","0.00","672.07","264.29","0.00","99.07","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"179","17","LOM-0077","Precision Mount Assy 0077","Precision Mount","Critical","2","9","0","VEN-024","Aperture Technologies","Approved","18.36","BUY-06","Tomas Varga","Mechanical & Thermal","249.9879","236.2289","238.4786","2.00","2.398","119.90","-2.2497","251","59673.77","0.00","715.48","0.00","0.00","98.80","62.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"180","45","LOM-0003","Lens Assembly Component 0003","Lens Assembly","Commodity","2","0","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-04","Johan Lindberg","Optics & Coatings","72.6035","66.7854","67.0346","3.00","3.138","104.60","-0.2492","852","57621.64","0.00","814.33","251.65","0.00","98.59","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"181","16","LOM-0040","Laser Diode Component 0040","Laser Diode","Commodity","3","1","0","VEN-015","Crystalline Industries","Preferred","3.57","BUY-02","Rafael Duarte","Optoelectronics","195.3514","157.5473","158.3427","8.00","8.184","102.30","-0.7954","200","33971.13","0.00","331.50","0.00","28935.37","99.00","73.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"182","46","LOM-0140","Optical Coating Module 0140","Optical Coating","Standard","2","4","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-04","Johan Lindberg","Optics & Coatings","80.6367","68.5376","70.0138","5.00","5.732","114.64","-1.4762","488","33446.35","0.00","68.54","0.00","0.00","99.57","65.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"183","47","LOM-0110","Fibre Connector Component 0110","Fibre Connector","Commodity","3","1","0","VEN-018","Northlight Industries","Approved","17.17","BUY-04","Johan Lindberg","Optics & Coatings","24.9508","21.2975","21.6977","7.00","7.896","112.80","-0.4002","1448","31594.63","0.00","282.24","182.25","0.00","99.10","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"184","18","LOM-0029","Precision Mount Component 0029","Precision Mount","Commodity","3","1","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-06","Tomas Varga","Mechanical & Thermal","158.0091","149.3770","150.4120","2.00","2.277","113.85","-1.0350","204","30472.91","0.00","149.38","0.00","0.00","99.51","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"185","19","LOM-0125","Precision Mount Component 0125","Precision Mount","Commodity","2","0","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-06","Tomas Varga","Mechanical & Thermal","202.4723","191.2970","194.6116","2.00","2.855","142.75","-3.3146","114","22214.91","0.00","0.00","0.00","0.00","100.00","63.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
